0,5071,2010-07-28 19:15:30.357,0,1
0,5361,2010-07-28 19:26:53.573,3,6
3,5361,2010-07-28 19:27:32.073,3,6
1,3952,2010-07-28 19:31:36.527,1,11
0,4654,2010-07-28 19:41:24.053,9,34
1,5446,2010-07-28 19:41:46.753,1,33
9,4654,2010-07-28 19:41:59.903,9,34
21,5243,2010-07-28 19:45:23.653,59,3
13,3664,2010-07-28 19:50:14.923,13,37
21,4084,2010-07-28 19:52:25.337,21,41
2,36,2010-07-28 19:56:49.913,0,66
0,36,2010-07-28 19:59:47.393,0,66
1,5114,2010-07-28 20:04:38.053,34,76
2,4075,2010-07-28 20:06:11.593,2,80
28,3103,2010-07-28 20:06:17.270,28,69
21,5114,2010-07-28 20:07:26.550,34,76
0,3037,2010-07-28 20:07:41.433,0,82
31,5361,2010-07-28 20:08:28.013,3,6
21,4075,2010-07-28 20:10:10.537,2,80
3,2562,2010-07-28 20:17:06.947,39,67
13,94,2010-07-28 20:19:24.757,13,95
13,2369,2010-07-28 20:27:49.667,11,108
21,2369,2010-07-28 20:29:42.223,11,108
11,2369,2010-07-28 20:34:12.337,11,108
11,4253,2010-07-28 20:35:52.957,21,111
21,4253,2010-07-28 20:37:15.557,21,111
34,4253,2010-07-28 20:38:01.517,21,111
25,1449,2010-07-28 20:41:40.197,25,116
13,1449,2010-07-28 20:42:36.857,25,116
13,2263,2010-07-28 20:46:02.090,71,120
39,2562,2010-07-28 20:55:23.690,39,67
34,5114,2010-07-28 20:59:19.793,34,76
38,4084,2010-07-28 21:02:54.233,21,41
13,3030,2010-07-28 21:06:54.253,13,131
11,3030,2010-07-28 21:07:07.390,13,131
41,3030,2010-07-28 21:08:52.207,13,131
11,1447,2010-07-28 21:11:19.890,11,134
36,1757,2010-07-28 21:12:05.927,59,127
27,3030,2010-07-28 21:17:40.487,13,131
1,3667,2010-07-28 21:35:15.957,2649,152
33,1757,2010-07-28 21:46:44.273,59,127
38,3037,2010-07-28 21:47:21.763,0,82
33,2879,2010-07-28 21:53:41.527,48,164
33,1464,2010-07-28 21:58:47.107,121,16446
38,2879,2010-07-28 21:59:00.353,48,164
1,1464,2010-07-28 22:00:54.890,121,16446
48,2879,2010-07-28 22:02:02.427,48,164
10,3103,2010-07-28 22:04:38.773,28,69
52,3103,2010-07-28 22:25:35.010,28,69
52,36,2010-07-28 22:30:59.437,0,66
34,3942,2010-07-28 22:36:00.307,275,182
10,2881,2010-07-28 23:04:40.860,53,194
53,1757,2010-07-28 23:14:59.033,59,127
10,3496,2010-07-28 23:24:09.847,66,209
56,4206,2010-07-28 23:52:00.250,33,219
33,4206,2010-07-28 23:53:14.583,33,219
1,4948,2010-07-28 23:57:56.790,9,224
55,2881,2010-07-29 00:00:19.250,53,194
1,1289,2010-07-29 00:05:50.753,21,230
1,3496,2010-07-29 00:07:37.037,66,209
24,5076,2010-07-29 00:57:33.190,28,228
28,5076,2010-07-29 00:57:38.400,28,228
58,36,2010-07-29 01:00:33.793,0,66
30,1289,2010-07-29 01:54:54.980,21,230
1,5158,2010-07-29 02:05:24.597,61,247
59,2369,2010-07-29 02:07:46.447,11,108
59,5243,2010-07-29 02:37:39.900,59,3
59,1757,2010-07-29 02:49:24.723,59,127
1,3292,2010-07-29 03:04:07.450,30,261
60,4579,2010-07-29 03:20:43.927,60,256
61,5158,2010-07-29 03:26:16.583,61,247
21,3292,2010-07-29 03:48:56.637,30,261
21,1289,2010-07-29 03:53:52.750,21,230
14,2881,2010-07-29 04:12:58.523,53,194
30,3292,2010-07-29 04:16:46.023,30,261
67,4963,2010-07-29 08:40:15.353,30,253
8,36,2010-07-29 08:42:54.193,0,66
8,5076,2010-07-29 08:46:11.703,28,228
67,4654,2010-07-29 08:55:15.287,9,34
8,94,2010-07-29 10:00:53.370,13,95
71,5513,2010-07-29 11:32:12.803,30,339
30,5513,2010-07-29 11:56:05.223,30,339
8,5362,2010-07-29 12:11:29.577,8,352
6,4855,2010-07-29 12:45:17.217,6,353
71,4589,2010-07-29 13:01:14.673,72,358
6,4589,2010-07-29 13:02:55.340,72,358
72,4589,2010-07-29 13:13:44.610,72,358
25,1516,2010-07-29 13:34:30.037,25,365
25,5357,2010-07-29 13:39:08.933,70,370
66,5357,2010-07-29 13:45:32.117,70,370
21,1516,2010-07-29 13:57:10.357,25,365
7,1351,2010-07-29 14:00:13.767,7,304
21,1351,2010-07-29 14:03:24.960,7,304
46,1516,2010-07-29 14:03:45.427,25,365
3,4589,2010-07-29 14:30:03.943,72,358
70,5357,2010-07-29 14:32:42.473,70,370
8,2540,2010-07-29 14:40:56.273,537,25633
13,2540,2010-07-29 14:42:29.517,537,25633
70,1351,2010-07-29 17:15:53.720,7,304
9,4948,2010-07-29 17:26:59.380,9,224
53,2881,2010-07-29 17:28:14.807,53,194
46,4136,2010-07-29 17:41:12.213,46,417
46,2879,2010-07-29 17:59:23.237,48,164
0,3021,2010-07-29 18:41:33.183,0,424
0,5739,2010-07-29 19:08:28.903,27,427
27,5739,2010-07-29 19:14:42.960,27,427
26,5739,2010-07-29 19:19:13.997,27,427
3,5739,2010-07-29 19:22:12.803,27,427
14,5362,2010-07-29 19:49:55.793,8,352
49,5739,2010-07-29 19:51:04.340,27,427
61,5362,2010-07-29 19:51:42.030,8,352
61,4855,2010-07-29 19:54:44.097,6,353
14,3318,2010-07-29 20:55:26.323,14,443
21,4412,2010-07-29 21:03:32.717,21,442
21,1520,2010-07-29 21:11:01.700,85,447
71,3318,2010-07-29 21:48:58.267,14,443
0,4684,2010-07-29 22:22:03.360,60,454
1,5362,2010-07-29 23:53:13.693,8,352
13,5114,2010-07-30 03:05:48.170,13,467
30,5114,2010-07-30 03:13:24.460,13,467
79,3318,2010-07-30 03:31:56.843,14,443
79,4684,2010-07-30 03:37:03.033,60,454
79,2263,2010-07-30 03:42:22.427,71,120
30,1858,2010-07-30 03:59:39.783,1,474
1,1858,2010-07-30 04:00:55.490,1,474
66,3318,2010-07-30 06:50:13.853,14,443
14,5114,2010-07-30 08:42:03.127,14,481
64,4392,2010-07-30 09:13:09.063,990,190425
30,4963,2010-07-30 09:30:44.610,30,253
8,2395,2010-07-30 15:34:48.967,149,493
34,2550,2010-07-30 15:44:16.223,34,500
0,4669,2010-07-30 15:44:20.980,82,501
6,2395,2010-07-30 15:52:48.543,149,493
0,4207,2010-07-30 15:55:37.950,0,505
6,4669,2010-07-30 16:08:37.253,82,501
82,4669,2010-07-30 16:12:17.547,82,501
66,2550,2010-07-30 16:13:03.443,34,500
34,1551,2010-07-30 18:43:36.010,34,519
71,1551,2010-07-30 18:44:51.170,34,519
0,1635,2010-07-31 00:44:51.357,34,529
34,1635,2010-07-31 00:55:50.650,34,529
69,4654,2010-07-31 05:31:57.130,9,34
69,1469,2010-07-31 05:44:45.427,69,540
22,4669,2010-07-31 07:25:36.787,82,501
